entity,field_name,type,read_only,audited
Account,intelOperatingRadius,text,false,false
Account,intelOshaViolations,text,false,false
Account,intelOwnerOperators,bool,false,false
Account,intelPackLastRun,datetime,true,false
Account,intelPackRun,bool,false,false
Lead,intelPackRun,bool,false,false
Account,intelPainPoints,text,false,false
Account,intelRun,bool,false,false
Account,intelRunBy,text,false,false
Account,intelRunDate,datetime,false,false
Account,intelSic,text,false,false
Account,intelSignalLinkedin,text,false,false
Account,intelSignalNews,text,false,false
Account,intelSources,text,false,false
Account,intelSourcesHit,int,false,false
Account,intelUnderwritingFlag,text,false,false
Account,intelWebsite,url,false,false
Account,intelWebsiteNotes,text,false,false
Account,intelYearsInBusiness,int,false,false
Contact,irmaApplies,bool,false,false
Account,keyFindings,text,false,false
Account,lastClaimDate,date,false,false
Account,lastClaimLob,enum,false,false
Account,lastClaimStatus,enum,false,false
Account,lastClaimType,text,false,false
Account,lastContactBy,link,false,false
Account,lastContactDate,date,false,false
Policy,lastContactDate,date,false,false
Renewal,lastContactDate,date,false,false
Opportunity,lastContactMethod,enum,false,false
Policy,lastContactMethod,enum,false,false
Renewal,lastContactMethod,enum,false,false
Account,lastContactOutcome,enum,false,false
Account,lastContactType,enum,false,false
Opportunity,leadSource,enum,false,true
Commission,ledgerExternalId,varchar,false,false
Commission,ledgerKey,varchar,true,false
Commission,ledgerPayloadHash,varchar,false,false
Commission,ledgerSyncedAt,datetime,true,false
Commission,ledgerSyncError,text,false,false
Commission,ledgerSyncStatus,enum,false,false
OpportunityDriver,licenseExpirationDate,date,false,false
Contact,lifeAnnualPremium,currency,false,false
Contact,lifeBeneficiaryOnFile,bool,false,false
Contact,lifeCoverageInForce,bool,false,false
Opportunity,lifeCoverageType,enum,false,false
Contact,lifeFaceAmount,currency,false,false
Opportunity,lifeFaceAmountRequested,currency,false,false
Contact,lifeHealthClass,enum,false,false
Opportunity,lifeHealthClassTarget,enum,false,false
Contact,lifePolicyType,enum,false,false
Contact,lifeReviewDate,date,false,false
Opportunity,lifeTermLength,enum,false,false
Opportunity,lifeTobaccoUser,bool,false,false
Commission,lineOfBusiness,enum,false,false
Opportunity,lineOfBusiness,enum,false,true
OpportunityDriver,lineOfBusiness,enum,false,false
OpportunityVehicle,lineOfBusiness,enum,false,false
Policy,lineOfBusiness,varchar,false,false
Quote,lineOfBusiness,enum,false,false
Renewal,lineOfBusiness,enum,true,false
Task,linkedAccount,link,false,false
Account,linkedinUrl,url,false,false
Account,linkedTasks,linkMultiple,false,false
ActivityLog,loggedBy,varchar,false,false
Opportunity,lossRunsRequested,bool,false,false
Opportunity,lostReason,enum,false,false
Renewal,lostReason,enum,false,false
Account,mailingAddress,text,false,false
Account,mailingAddressSame,bool,false,false
Account,maritalStatus,enum,false,false
Opportunity,medAepSepDate,date,false,false
Opportunity,medCurrentCarrier,varchar,false,false
Opportunity,medCurrentPlan,varchar,false,false
Contact,medicareCarrier,varchar,false,false
Contact,medicareEligible,bool,false,false
Lead,medicareEligible,bool,false,false
Opportunity,medicareHICN,varchar,false,false
Lead,medicarePartADate,date,false,false
Contact,medicarePartB,bool,false,false
Lead,medicarePartBDate,date,false,false
Contact,medicarePlanType,enum,false,false
Opportunity,medIrmaaApplies,bool,false,false
Opportunity,medPlanType,enum,false,false
OpportunityVehicle,mileageDriven,int,false,false
Account,momentumClientId,text,false,false
Contact,momentumClientId,varchar,false,false
Account,momentumLastSynced,datetime,false,false
Policy,momentumLastSynced,datetime,false,false
Task,momentumLastSynced,datetime,false,false
Policy,momentumPolicyId,varchar,false,false
Task,momentumTaskId,varchar,false,false
ActivityLog,momentumTransactionId,varchar,false,false
Account,mvrFlag,bool,false,false
ActivityLog,newPremium,currency,false,false
Account,nextRenewalCarrier,text,false,false
Account,nextRenewalDate,date,false,false
Account,nextRenewalLob,text,false,false
Account,nextXDate,date,false,false
Account,nextXDateLob,text,false,false
Account,npsDate,date,false,false
Account,npsScore,int,false,false
Account,numberOfEmployees,int,false,false
ActivityLog,oldPremium,currency,false,false
Opportunity,onboardingSent,bool,false,false
Opportunity,opportunityDrivers,linkMultiple,false,false
Opportunity,opportunityVehicles,linkMultiple,false,false
Contact,originalLeadSource,varchar,true,false
Account,outreachAttemptsCurrent,int,false,false
Commission,overdueFlag,bool,true,false
OpportunityVehicle,ownershipType,enum,false,false
Opportunity,paCurrentExpiration,date,false,false
Opportunity,paCurrentPremium,currency,false,false
Opportunity,paPriorClaims,enum,false,false
Opportunity,partAEffectiveDate,date,false,false
Opportunity,partBEffectiveDate,date,false,false
Commission,paymentReceivedDate,date,false,false
Account,policyAutoActive,bool,false,false
Account,policyAutoBiLimits,text,false,false
Account,policyAutoCarrier,text,false,false
Account,policyAutoCompCollision,bool,false,false
Account,policyAutoDeductible,text,false,false
Account,policyAutoEffective,date,false,false
Account,policyAutoExpiration,date,false,false
Account,policyAutoNumber,text,false,false
Account,policyAutoPremium,currency,false,false
Account,policyAutoUmUim,bool,false,false
Account,policyCountActive,int,true,false
Account,policyHomeActive,bool,false,false
Account,policyHomeCarrier,text,false,false
Account,policyHomeDeductible,text,false,false
Account,policyHomeDwellingLimit,currency,false,false
Account,policyHomeEffective,date,false,false
Account,policyHomeExpiration,date,false,false
Account,policyHomeNumber,text,false,false
Account,policyHomePremium,currency,false,false
Account,policyHomeWindHailDed,text,false,false
Account,policyLifeActive,bool,false,false
Account,policyLifeCarrier,text,false,false
Account,policyLifeExpiration,date,false,false
Account,policyLifeFaceValue,currency,false,false
Account,policyLifePremium,currency,false,false
Account,policyLifeType,enum,false,false
Account,policyMedicareActive,bool,false,false
Account,policyMedicareAepFlag,bool,false,false
Account,policyMedicareCarrier,text,false,false
Account,policyMedicareEffective,date,false,false
Account,policyMedicarePlanName,text,false,false
Account,policyMedicarePlanType,enum,false,false
Account,policyMedicarePremium,currency,false,false
Policy,policyNotes,text,false,false
Opportunity,policyNumber,varchar,false,false
Policy,policyNumber,varchar,false,false
Account,policyRenterActive,bool,false,false
Account,policyRenterCarrier,text,false,false
Account,policyRenterExpiration,date,false,false
Account,policyRenterPremium,currency,false,false
Opportunity,policyStubId,varchar,true,false
Opportunity,policyStubStatus,enum,true,false
Policy,policyTerm,int,false,false
